Fruit,RetailPrice
Apples,1.8541
Apples,1.1705
Apples,0.8699
Apples,0.6086
Apricots,3.6162
Apricots,1.8645
Apricots,2.2362
Apricots,7.6611
Bananas,0.5971
Berries,4.2673
Blackberries,6.7483
Blackberries,4.8277
Blueberries,4.1575
Blueberries,3.821
Cantaloupe,0.7523
Cherries,4.6632
Cherries,5.2418
Clementines,1.5811
Cranberries,5.0828
Dates,5.7499
Figs,7.3233
Fruit cocktail,2.394
Fruit cocktail,2.0996
Grapefruit,1.4444
Grapefruit,1.1935
Grapes,2.0363
Grapes,3.9936
Grapes,1.0509
Grapes,0.7524
Honeydew,1.1589
Kiwi,2.6064
Mangoes,1.4698
Mangoes,10.3035
Nectarines,2.3721
Oranges,1.4624
Oranges,1.0572
Oranges,0.7338
Papaya,1.3375
Papaya,7.4854
Peaches,2.1785
Peaches,2.2503
Peaches,2.0102
Peaches,3.6058
Pears,1.8472
Pears,2.14
Pears,2.092
Pineapple,0.617
Pineapple,1.6509
Pineapple,1.7771
Pineapple,7.0133
Pineapple,1.2243
Pineapple,0.7256
Plum,2.5259
Plum,6.3293
Plum,1.6988
Pomegranate,2.4672
Pomegranate,3.2788
Raspberries,7.7338
Raspberries,6.159
Strawberries,2.9682
Strawberries,3.3421
Watermelon,0.382

